Station Name: BELMULLET
Station Height: 9 M 
Latitude:54.228  ,Longitude: -10.007


date:   -  00 to 00 utc
rain:   -  Precipitation Amount (mm)
maxtp:  -  Maximum Air Temperature (C)	  
mintp:  -  Minimum  Air Temperature (C)
gmin:   -  09utc Grass Minimum Temperature (C)
soil:   -  Mean 10cm Soil Temperature (C)
wdsp:   -  Mean Wind Speed (knot)
hm:     -  Highest ten minute mean wind speed (knot)		                 
ddhm:   -  Wind Direction at max 10 min. mean (deg)                  
hg:     -  Highest Gust (knot)
cbl:    -  Mean CBL Pressure (hpa)
sun:    -  Sunshine duration (hours)
pe:     -  Potential Evapotranspiration (mm)				
evap:   -  Evaporation (mm)						
smd_wd: -  Soil Moisture Deficits(mm) well drained		
smd_md: -  Soil Moisture Deficits(mm) moderately drained	
smd_pd: -  Soil Moisture Deficits(mm) poorly drained 	
ind:    -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,glorad,soil,pe,evap,smd_wd,smd_md,smd_pd
01-jan-2021,0,7.6,0,1.3,0,1.2,0,1.8,1019.7,10.6,0,18,0,0,0,28,2.2,235,4.022,0.5,0.6,0.0,-1.3,-10.0
02-jan-2021,0,8.0,0,3.3,0,-1.2,0,3.0,1023.1,8.3,0,14,0,0,0,22,1.4,204,3.979,0.6,0.7,0.0,-2.4,-10.0
03-jan-2021,0,6.3,0,-0.2,0,-0.1,0,0.8,1026.3,4.4,0,15,0,40,0,23,1.7,232,3.741,0.2,0.2,0.0,-0.6,-10.0
04-jan-2021,0,5.9,0,-1.1,0,-5.3,0,0.0,1029.2,5.0,0,10,0,60,0,15,4.7,320,1.769,0.1,0.1,0.1,0.1,-9.4
05-jan-2021,0,6.8,0,-0.8,0,-4.8,0,0.0,1029.8,2.7,0,9,0,10,0,11,3.7,330,1.579,0.0,0.2,0.1,0.1,-9.0
06-jan-2021,0,6.0,0,-0.9,0,-4.4,0,7.0,1024.1,4.7,0,11,0,170,0,14,0.4,154,1.876,0.2,0.3,0.0,-6.7,-10.0
07-jan-2021,0,6.9,0,4.0,0,0.0,0,5.6,1021.3,11.9,0,20,0,0,0,31,2.1,223,3.457,0.6,0.7,0.0,-5.0,-10.0
08-jan-2021,0,5.8,0,0.8,0,0.4,0,1.8,1024.5,7.9,0,19,0,30,0,27,1.2,222,3.086,0.5,0.6,0.0,-1.3,-10.0
09-jan-2021,0,8.0,0,1.3,0,-1.7,0,2.2,1024.3,7.8,0,12,0,220,0,18,1.0,239,3.687,0.2,0.2,0.0,-2.0,-10.0
10-jan-2021,0,8.2,0,6.9,0,2.9,0,1.6,1021.2,12.0,0,19,0,240,0,28,0.2,187,5.477,0.5,0.6,0.0,-1.1,-10.0
11-jan-2021,0,10.0,0,8.0,0,6.2,0,16.3,1012.4,16.8,0,22,0,230,0,31,0.0,54,7.226,0.6,0.8,0.0,-10.0,-10.0
12-jan-2021,0,10.1,0,6.6,0,7.1,0,15.7,1011.7,7.9,0,16,0,210,0,20,0.0,53,7.576,0.3,0.5,0.0,-10.0,-10.0
13-jan-2021,0,10.8,0,8.0,0,6.6,0,5.3,1013.1,13.5,0,22,0,210,0,31,0.0,101,8.483,0.3,0.5,0.0,-5.0,-10.0
14-jan-2021,0,9.6,0,3.1,0,4.4,0,1.2,1020.7,6.5,0,13,0,310,0,20,5.2,343,6.922,0.1,0.2,0.0,-1.1,-10.0
15-jan-2021,0,11.0,0,3.7,0,-0.3,0,11.1,1015.6,16.9,0,32,0,190,0,43,0.0,50,5.666,0.6,0.8,0.0,-10.0,-10.0
16-jan-2021,0,9.2,0,5.5,0,5.6,0,1.8,1014.0,15.3,0,24,0,240,0,35,1.0,203,6.779,0.6,0.8,0.0,-1.2,-10.0
17-jan-2021,0,8.6,0,6.1,0,3.5,0,1.4,1022.6,11.4,0,18,0,240,0,25,0.0,160,5.665,0.9,1.1,0.0,-0.5,-10.0
18-jan-2021,0,9.1,0,5.2,0,2.7,0,8.6,1011.4,8.4,0,16,0,250,0,24,0.0,127,6.386,0.5,0.6,0.0,-8.1,-10.0
19-jan-2021,0,7.7,0,3.8,0,5.8,0,26.1,993.6,6.9,0,12,0,50,0,17,0.0,85,7.222,0.2,0.4,0.0,-10.0,-10.0
20-jan-2021,0,7.1,0,0.3,0,-1.7,0,3.1,982.3,3.5,0,10,0,330,0,19,3.6,362,5.521,0.1,0.2,0.0,-3.0,-10.0
21-jan-2021,0,7.6,0,1.5,0,-1.8,0,6.1,983.7,6.7,0,21,0,290,0,29,1.6,200,4.631,0.5,0.6,0.0,-5.6,-10.0
22-jan-2021,0,5.2,0,1.0,0,-0.8,0,3.1,991.7,7.4,0,15,0,340,0,24,1.1,215,3.850,0.4,0.6,0.0,-2.7,-10.0
23-jan-2021,0,3.9,0,0.2,0,-2.2,0,1.3,993.6,7.3,0,21,0,180,0,26,0.3,185,2.639,0.5,0.6,0.0,-0.8,-10.0
24-jan-2021,0,4.8,0,-0.6,0,-3.2,0,0.7,998.4,5.1,0,14,0,350,0,21,3.4,323,2.235,0.2,0.3,0.0,-0.5,-10.0
25-jan-2021,0,7.4,0,-0.6,0,-5.0,0,2.2,1007.1,9.1,0,18,0,210,0,26,2.7,351,2.568,0.4,0.5,0.0,-1.8,-10.0
26-jan-2021,0,10.1,0,4.0,0,2.6,0,1.6,1003.8,10.9,0,17,0,150,0,22,0.2,173,5.347,0.3,0.5,0.0,-1.3,-10.0
27-jan-2021,0,10.0,0,4.5,0,0.8,0,8.8,1000.5,5.9,0,18,0,170,0,22,0.0,128,6.029,0.3,0.4,0.0,-8.5,-10.0
28-jan-2021,0,10.9,0,8.3,0,4.9,0,5.6,990.5,16.5,0,24,0,210,0,31,0.8,192,7.771,0.4,0.6,0.0,-5.2,-10.0
29-jan-2021,0,11.1,0,6.4,0,6.7,0,4.6,994.1,8.9,0,18,0,270,0,28,1.6,362,7.748,0.5,0.6,0.0,-4.1,-10.0
30-jan-2021,0,6.4,0,3.5,0,3.5,0,0.4,996.8,14.4,0,21,0,60,0,32,1.7,259,5.993,0.7,1.0,0.3,0.3,-9.2
31-jan-2021,0,4.8,0,2.5,0,2.2,0,8.5,992.2,12.2,0,18,0,140,0,28,0.4,251,4.958,0.5,0.7,0.0,-7.7,-10.0
01-feb-2021,0,8.0,0,4.5,0,2.3,0,3.3,988.3,7.4,0,12,0,130,0,18,0.0,164,5.962,0.4,0.5,0.0,-2.9,-10.0
02-feb-2021,0,9.6,0,5.9,0,4.9,0,12.0,981.9,8.7,0,15,0,180,0,19,0.1,238,7.056,0.4,0.5,0.0,-10.0,-10.0
03-feb-2021,0,8.2,0,5.7,0,5.1,0,0.9,987.8,5.3,0,12,0,50,0,16,0.0,251,7.266,0.3,0.4,0.0,-0.6,-10.0
