Station Name: MALIN HEAD
Station Height: 20 M 
Latitude:55.372  ,Longitude: -7.339


date:   -  00 to 00 utc
rain:   -  Precipitation Amount (mm)
maxtp:  -  Maximum Air Temperature (C)	  
mintp:  -  Minimum  Air Temperature (C)
gmin:   -  09utc Grass Minimum Temperature (C)
soil:   -  Mean 10cm Soil Temperature (C)
wdsp:   -  Mean Wind Speed (knot)
hm:     -  Highest ten minute mean wind speed (knot)		                 
ddhm:   -  Wind Direction at max 10 min. mean (deg)                  
hg:     -  Highest Gust (knot)
cbl:    -  Mean CBL Pressure (hpa)
sun:    -  Sunshine duration (hours)
pe:     -  Potential Evapotranspiration (mm)				
evap:   -  Evaporation (mm)						
smd_wd: -  Soil Moisture Deficits(mm) well drained		
smd_md: -  Soil Moisture Deficits(mm) moderately drained	
smd_pd: -  Soil Moisture Deficits(mm) poorly drained 	
ind:    -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,glorad,soil,pe,evap,smd_wd,smd_md,smd_pd
01-jan-2021,0,7.2,0,3.2,0,4.4,0,1.6,1015.5,19.0,0,28,0,350,0,34,1.1,148,5.757,0.8,1.1,0.0,-0.8,-10.0
02-jan-2021,0,6.3,0,4.2,0,0.2,0,1.7,1019.8,15.6,0,22,0,0,0,29,2.1,175,5.530,0.7,0.9,0.0,-1.0,-10.0
03-jan-2021,0,6.4,0,5.0,0,1.0,0,0.0,1025.0,15.8,0,20,0,30,0,27,2.7,180,5.260,1.1,1.3,1.1,1.1,-8.4
04-jan-2021,0,6.1,0,4.9,0,3.2,0,0.0,1028.5,14.7,0,19,0,70,0,26,2.0,179,5.338,1.1,1.3,2.2,2.2,-6.9
05-jan-2021,0,6.5,0,4.7,0,1.9,0,0.0,1028.2,11.2,0,16,0,50,0,20,5.3,260,5.071,0.9,1.0,3.1,3.1,-5.6
06-jan-2021,0,5.3,0,-0.7,0,-2.5,0,1.6,1021.6,8.0,0,15,0,200,0,19,3.7,276,4.588,0.1,0.1,1.6,1.6,-6.8
07-jan-2021,0,6.6,0,3.2,0,-2.5,0,4.7,1017.6,19.4,0,31,0,0,0,38,1.7,164,5.031,1.0,1.3,0.0,-2.1,-10.0
08-jan-2021,0,4.9,0,-0.3,0,1.1,0,0.5,1021.3,13.6,0,33,0,10,0,42,1.2,162,4.647,0.7,0.9,0.2,0.2,-9.3
09-jan-2021,0,7.2,0,-0.4,0,-2.8,0,0.6,1021.3,13.9,0,22,0,220,0,26,0.1,153,4.390,0.3,0.4,0.0,-0.0,-9.1
10-jan-2021,0,8.0,0,6.8,0,1.8,0,1.7,1016.2,17.0,0,25,0,240,0,33,0.0,136,5.876,0.3,0.5,0.0,-1.4,-10.0
11-jan-2021,0,9.1,0,5.7,0,5.7,0,12.9,1007.8,20.3,0,29,0,240,0,39,0.0,54,6.791,0.4,0.7,0.0,-10.0,-10.0
12-jan-2021,0,6.0,0,2.7,0,2.9,0,1.8,1011.1,10.7,0,19,0,30,0,23,0.1,158,6.098,0.7,0.8,0.0,-1.1,-10.0
13-jan-2021,0,10.0,0,4.4,0,1.3,0,22.3,1010.9,11.7,0,17,0,300,0,22,0.0,45,6.530,0.3,0.5,0.0,-10.0,-10.0
14-jan-2021,0,8.9,0,2.7,0,6.0,0,2.8,1017.1,13.5,0,25,0,320,0,29,2.4,239,7.154,0.0,0.0,0.0,-2.8,-10.0
